dataset,implementation,n,k,dim,seed,wcss,time_seconds
fashion-mnist,kmeans_naive,1000,10,784,1234,2078437258.220972,6.7656875449993095
fashion-mnist,kmeans_naive,1000,10,784,1234,2078437258.220972,6.818544790001397
fashion-mnist,kmeans_naive,1000,10,784,1234,2078437258.220972,6.905194579998351
fashion-mnist,kmeans_naive,1000,10,784,1234,2078437258.220972,7.012633623000511
fashion-mnist,kmeans_naive,1000,10,784,1234,2078437258.220972,7.083557990999907
fashion-mnist,kmeans_numpy,1000,10,784,1234,2068305758.0625,0.014212701998985722
fashion-mnist,kmeans_numpy,1000,10,784,1234,2068305758.0625,0.011941238000872545
fashion-mnist,kmeans_numpy,1000,10,784,1234,2068305758.0625,0.01218154199887067
fashion-mnist,kmeans_numpy,1000,10,784,1234,2068305758.0625,0.011692501000652555
fashion-mnist,kmeans_numpy,1000,10,784,1234,2068305758.0625,0.01149980500122183
fashion-mnist,kmeans_numpy_a,1000,10,784,1234,1.3963701e+06,0.31156367199946544
fashion-mnist,kmeans_numpy_a,1000,10,784,1234,1.3963701e+06,0.2639368700001796
fashion-mnist,kmeans_numpy_a,1000,10,784,1234,1.3963701e+06,0.26144509200094035
fashion-mnist,kmeans_numpy_a,1000,10,784,1234,1.3963701e+06,0.2617355790007423
fashion-mnist,kmeans_numpy_a,1000,10,784,1234,1.3963701e+06,0.2615876020008727
fashion-mnist,kmeans_numba,1000,10,784,1234,2068305566.5790055,0.005838986000526347
fashion-mnist,kmeans_numba,1000,10,784,1234,2068305566.5790055,0.005573390999416006
fashion-mnist,kmeans_numba,1000,10,784,1234,2068305566.5790055,0.005519203999938327
fashion-mnist,kmeans_numba,1000,10,784,1234,2068305566.5790055,0.007434088000081829
fashion-mnist,kmeans_numba,1000,10,784,1234,2068305566.5790055,0.007146461999582243
fashion-mnist,supercharge,1000,10,784,1234,2086306560.0,0.0030646699997305404
fashion-mnist,supercharge,1000,10,784,1234,2086306560.0,0.0030112109998299275
fashion-mnist,supercharge,1000,10,784,1234,2086306560.0,0.003010600999914459
fashion-mnist,supercharge,1000,10,784,1234,2086306560.0,0.0030169350011419738
fashion-mnist,supercharge,1000,10,784,1234,2086306688.0,0.003826935000688536
fashion-mnist,sklearn,1000,10,784,1234,2089772672.0,0.05506604400034121
fashion-mnist,sklearn,1000,10,784,1234,2089772672.0,0.006544809999468271
fashion-mnist,sklearn,1000,10,784,1234,2089772672.0,0.005123150998770143
fashion-mnist,sklearn,1000,10,784,1234,2089772672.0,0.0049634690003586
fashion-mnist,sklearn,1000,10,784,1234,2089772672.0,0.004184327000984922
fashion-mnist,kmeans_naive,2000,10,784,1234,4234475659.706311,20.582011301999955
fashion-mnist,kmeans_naive,2000,10,784,1234,4234475659.706311,20.295212826000352
fashion-mnist,kmeans_naive,2000,10,784,1234,4234475659.706311,23.847973280000588
fashion-mnist,kmeans_naive,2000,10,784,1234,4234475659.706311,23.608750325000074
fashion-mnist,kmeans_naive,2000,10,784,1234,4234475659.706311,23.582297285000095
fashion-mnist,kmeans_numpy,2000,10,784,1234,4240310329.375,0.023920142999486416
fashion-mnist,kmeans_numpy,2000,10,784,1234,4240310329.375,0.025408896999579156
fashion-mnist,kmeans_numpy,2000,10,784,1234,4240310329.375,0.026076186000864254
fashion-mnist,kmeans_numpy,2000,10,784,1234,4240310329.375,0.028684262000751914
fashion-mnist,kmeans_numpy,2000,10,784,1234,4240310329.375,0.030608778000896564
fashion-mnist,kmeans_numpy_a,2000,10,784,1234,2.8312382e+06,0.988346530999479
fashion-mnist,kmeans_numpy_a,2000,10,784,1234,2.8312382e+06,0.8014013370011526
fashion-mnist,kmeans_numpy_a,2000,10,784,1234,2.8312382e+06,0.7960792940011743
fashion-mnist,kmeans_numpy_a,2000,10,784,1234,2.8312382e+06,0.7926109520012687
fashion-mnist,kmeans_numpy_a,2000,10,784,1234,2.8312382e+06,0.8079295049992652
fashion-mnist,kmeans_numba,2000,10,784,1234,4240310142.495041,0.01540425100029097
fashion-mnist,kmeans_numba,2000,10,784,1234,4240310142.495041,0.012550718998681987
fashion-mnist,kmeans_numba,2000,10,784,1234,4240310142.495041,0.01162872999884712
fashion-mnist,kmeans_numba,2000,10,784,1234,4240310142.495041,0.01170884899875091
fashion-mnist,kmeans_numba,2000,10,784,1234,4240310142.495041,0.01364367700080038
fashion-mnist,supercharge,2000,10,784,1234,4193373184.0,0.007222064001325634
fashion-mnist,supercharge,2000,10,784,1234,4193373184.0,0.007096027000443428
fashion-mnist,supercharge,2000,10,784,1234,4193372928.0,0.009326063000116847
fashion-mnist,supercharge,2000,10,784,1234,4193373184.0,0.01042530899940175
fashion-mnist,supercharge,2000,10,784,1234,4193373184.0,0.007685575999857974
fashion-mnist,sklearn,2000,10,784,1234,4197920256.0,0.012389374000122189
fashion-mnist,sklearn,2000,10,784,1234,4197920000.0,0.012714926999251475
fashion-mnist,sklearn,2000,10,784,1234,4197920256.0,0.012169985000582528
fashion-mnist,sklearn,2000,10,784,1234,4197920256.0,0.013675304000571487
fashion-mnist,sklearn,2000,10,784,1234,4197920256.0,0.013822373999573756
fashion-mnist,kmeans_numpy,4000,10,784,1234,8816810251.875,0.1057981980011391
fashion-mnist,kmeans_numpy,4000,10,784,1234,8816810251.875,0.09891326899924024
fashion-mnist,kmeans_numpy,4000,10,784,1234,8816810251.875,0.10607750499912072
fashion-mnist,kmeans_numpy,4000,10,784,1234,8816810251.875,0.110986726000192
fashion-mnist,kmeans_numpy,4000,10,784,1234,8816810251.875,0.1124878010014072
fashion-mnist,kmeans_numpy_a,4000,10,784,1234,5.803381e+06,1.9333500860011554
fashion-mnist,kmeans_numpy_a,4000,10,784,1234,5.803381e+06,1.6726297719997092
fashion-mnist,kmeans_numpy_a,4000,10,784,1234,5.803381e+06,1.6877203379990533
fashion-mnist,kmeans_numpy_a,4000,10,784,1234,5.803381e+06,1.6738406969998323
fashion-mnist,kmeans_numpy_a,4000,10,784,1234,5.803381e+06,1.6921835740013194
fashion-mnist,kmeans_numba,4000,10,784,1234,8816810184.65382,0.029148384001018712
fashion-mnist,kmeans_numba,4000,10,784,1234,8816810184.65382,0.031177917000604793
fashion-mnist,kmeans_numba,4000,10,784,1234,8816810184.65382,0.03374309100036044
fashion-mnist,kmeans_numba,4000,10,784,1234,8816810184.65382,0.03599282600043807
fashion-mnist,kmeans_numba,4000,10,784,1234,8816810184.65382,0.035830451000947505
fashion-mnist,supercharge,4000,10,784,1234,8389530624.0,0.02257300800010853
fashion-mnist,supercharge,4000,10,784,1234,8389529600.0,0.020420354001544183
fashion-mnist,supercharge,4000,10,784,1234,8389530624.0,0.021968273000311456
fashion-mnist,supercharge,4000,10,784,1234,8389531136.0,0.021149713000340853
fashion-mnist,supercharge,4000,10,784,1234,8389530112.0,0.02143099900058587
fashion-mnist,sklearn,4000,10,784,1234,8306329088.0,0.032093420000819606
fashion-mnist,sklearn,4000,10,784,1234,8306329088.0,0.03428764400086948
fashion-mnist,sklearn,4000,10,784,1234,8306329088.0,0.030089431000305922
fashion-mnist,sklearn,4000,10,784,1234,8306328576.0,0.030853596999804722
fashion-mnist,sklearn,4000,10,784,1234,8306329088.0,0.028518764000182273
fashion-mnist,kmeans_numpy,8000,10,784,1234,16880798200.5625,0.19374155400146265
fashion-mnist,kmeans_numpy,8000,10,784,1234,16880798200.5625,0.21732049199999892
fashion-mnist,kmeans_numpy,8000,10,784,1234,16880798200.5625,0.23078617499959364
fashion-mnist,kmeans_numpy,8000,10,784,1234,16880798200.5625,0.237182730999848
fashion-mnist,kmeans_numpy,8000,10,784,1234,16880798200.5625,0.23904360800042923
fashion-mnist,kmeans_numpy_a,8000,10,784,1234,1.1287718e+07,2.52853211799993
fashion-mnist,kmeans_numpy_a,8000,10,784,1234,1.1287718e+07,2.338673985999776
fashion-mnist,kmeans_numpy_a,8000,10,784,1234,1.1287718e+07,2.300450926000849
fashion-mnist,kmeans_numpy_a,8000,10,784,1234,1.1287718e+07,2.345983207000245
fashion-mnist,kmeans_numpy_a,8000,10,784,1234,1.1287718e+07,2.3499172920001
